GeographyCode,DateCode,Measurement,Units,Value,Breakdown of Domestic Tourism,Age,Marital Status,Gender,Employment Status,Children,Access to Car,Social Grade
S92000003,2013,Count,million pounds (GBP),1319,Expenditure,All,Not Married,All,All,All,All,All
S92000003,2015,Count,Million Visits,124,Visits,All,All,All,All,All,All,All
S92000003,2015,Count,Million Visits,62,Visits,All,All,Male,All,All,All,All
S92000003,2015,Count,Million Visits,62,Visits,All,All,Female,All,All,All,All
S92000003,2015,Count,Million Visits,73,Visits,All,Married,All,All,All,All,All
S92000003,2015,Count,Million Visits,52,Visits,All,Not Married,All,All,All,All,All
S92000003,2014,Count,Million Visits,127,Visits,All,All,All,All,All,All,All
S92000003,2014,Count,Million Visits,61,Visits,All,All,Male,All,All,All,All
S92000003,2014,Count,Million Visits,67,Visits,All,All,Female,All,All,All,All
S92000003,2014,Count,Million Visits,73,Visits,All,Married,All,All,All,All,All
S92000003,2014,Count,Million Visits,54,Visits,All,Not Married,All,All,All,All,All
S92000003,2013,Count,Million Visits,124,Visits,All,All,All,All,All,All,All
S92000003,2013,Count,Million Visits,58,Visits,All,All,Male,All,All,All,All
S92000003,2013,Count,Million Visits,66,Visits,All,All,Female,All,All,All,All
S92000003,2013,Count,Million Visits,75,Visits,All,Married,All,All,All,All,All
S92000003,2013,Count,Million Visits,48,Visits,All,Not Married,All,All,All,All,All
S92000003,2015,Count,Million Visits,27,Visits,16-24,All,All,All,All,All,All
S92000003,2016,Count,million pounds (GBP),563,Expenditure,16-24,All,All,All,All,All,All
S92000003,2013,Count,Million Visits,22,Visits,16-24,All,All,All,All,All,All
S92000003,2014,Count,Million Visits,24,Visits,16-24,All,All,All,All,All,All
S92000003,2016,Count,Million Visits,24,Visits,16-24,All,All,All,All,All,All
S92000003,2014,Count,million pounds (GBP),966,Expenditure,16-24,All,All,All,All,All,All
S92000003,2015,Count,million pounds (GBP),565,Expenditure,16-24,All,All,All,All,All,All
S92000003,2013,Count,million pounds (GBP),541,Expenditure,16-24,All,All,All,All,All,All
S92000003,2013,Count,Million Visits,21,Visits,25-34,All,All,All,All,All,All
S92000003,2015,Count,Million Visits,25,Visits,25-34,All,All,All,All,All,All
S92000003,2014,Count,million pounds (GBP),831,Expenditure,25-34,All,All,All,All,All,All
S92000003,2016,Count,million pounds (GBP),920,Expenditure,25-34,All,All,All,All,All,All
S92000003,2016,Count,Million Visits,23,Visits,25-34,All,All,All,All,All,All
S92000003,2014,Count,Million Visits,18,Visits,25-34,All,All,All,All,All,All
S92000003,2013,Count,million pounds (GBP),994,Expenditure,25-34,All,All,All,All,All,All
S92000003,2015,Count,million pounds (GBP),825,Expenditure,25-34,All,All,All,All,All,All
S92000003,2016,Count,Million Visits,25,Visits,35-44,All,All,All,All,All,All
S92000003,2014,Count,million pounds (GBP),733,Expenditure,35-44,All,All,All,All,All,All
S92000003,2016,Count,million pounds (GBP),911,Expenditure,35-44,All,All,All,All,All,All
S92000003,2013,Count,Million Visits,18,Visits,35-44,All,All,All,All,All,All
S92000003,2013,Count,million pounds (GBP),729,Expenditure,35-44,All,All,All,All,All,All
S92000003,2015,Count,million pounds (GBP),709,Expenditure,35-44,All,All,All,All,All,All
S92000003,2014,Count,Million Visits,21,Visits,35-44,All,All,All,All,All,All
S92000003,2015,Count,Million Visits,19,Visits,35-44,All,All,All,All,All,All
S92000003,2013,Count,million pounds (GBP),799,Expenditure,65+,All,All,All,All,All,All
S92000003,2013,Count,Million Visits,23,Visits,65+,All,All,All,All,All,All
S92000003,2016,Count,million pounds (GBP),638,Expenditure,65+,All,All,All,All,All,All
S92000003,2014,Count,Million Visits,23,Visits,65+,All,All,All,All,All,All
S92000003,2015,Count,million pounds (GBP),468,Expenditure,65+,All,All,All,All,All,All
S92000003,2016,Count,Million Visits,28,Visits,65+,All,All,All,All,All,All
S92000003,2014,Count,million pounds (GBP),888,Expenditure,65+,All,All,All,All,All,All
S92000003,2015,Count,Million Visits,20,Visits,65+,All,All,All,All,All,All
S92000003,2013,Count,million pounds (GBP),969,Expenditure,45-54,All,All,All,All,All,All
S92000003,2016,Count,Million Visits,17,Visits,45-54,All,All,All,All,All,All
S92000003,2015,Count,million pounds (GBP),607,Expenditure,45-54,All,All,All,All,All,All
S92000003,2015,Count,Million Visits,15,Visits,45-54,All,All,All,All,All,All
S92000003,2014,Count,Million Visits,18,Visits,45-54,All,All,All,All,All,All
S92000003,2014,Count,million pounds (GBP),809,Expenditure,45-54,All,All,All,All,All,All
S92000003,2013,Count,Million Visits,22,Visits,45-54,All,All,All,All,All,All
S92000003,2016,Count,million pounds (GBP),1076,Expenditure,45-54,All,All,All,All,All,All
S92000003,2016,Count,Million Visits,26,Visits,55-64,All,All,All,All,All,All
S92000003,2014,Count,million pounds (GBP),794,Expenditure,55-64,All,All,All,All,All,All
S92000003,2015,Count,Million Visits,20,Visits,55-64,All,All,All,All,All,All
S92000003,2013,Count,million pounds (GBP),615,Expenditure,55-64,All,All,All,All,All,All
S92000003,2013,Count,Million Visits,19,Visits,55-64,All,All,All,All,All,All
S92000003,2015,Count,million pounds (GBP),748,Expenditure,55-64,All,All,All,All,All,All
S92000003,2016,Count,million pounds (GBP),808,Expenditure,55-64,All,All,All,All,All,All
S92000003,2014,Count,Million Visits,23,Visits,55-64,All,All,All,All,All,All
S92000003,2016,Count,Million Visits,142,Visits,All,All,All,All,All,All,All
S92000003,2016,Count,Million Visits,62,Visits,All,All,Male,All,All,All,All
S92000003,2015,Count,Million Visits,14,Visits,All,All,All,In full or part time education,All,All,All
S92000003,2016,Count,million pounds (GBP),322,Expenditure,All,All,All,In full or part time education,All,All,All
S92000003,2016,Count,Million Visits,17,Visits,All,All,All,In full or part time education,All,All,All
S92000003,2014,Count,Million Visits,11,Visits,All,All,All,In full or part time education,All,All,All
S92000003,2015,Count,million pounds (GBP),349,Expenditure,All,All,All,In full or part time education,All,All,All
S92000003,2013,Count,Million Visits,13,Visits,All,All,All,In full or part time education,All,All,All
S92000003,2013,Count,million pounds (GBP),283,Expenditure,All,All,All,In full or part time education,All,All,All
S92000003,2014,Count,million pounds (GBP),232,Expenditure,All,All,All,In full or part time education,All,All,All
S92000003,2016,Count,million pounds (GBP),3334,Expenditure,All,All,All,Employed/self-employed (full or part time),All,All,All
S92000003,2015,Count,million pounds (GBP),2294,Expenditure,All,All,All,Employed/self-employed (full or part time),All,All,All
S92000003,2014,Count,million pounds (GBP),3177,Expenditure,All,All,All,Employed/self-employed (full or part time),All,All,All
S92000003,2016,Count,Million Visits,78,Visits,All,All,All,Employed/self-employed (full or part time),All,All,All
S92000003,2014,Count,Million Visits,72,Visits,All,All,All,Employed/self-employed (full or part time),All,All,All
S92000003,2015,Count,Million Visits,67,Visits,All,All,All,Employed/self-employed (full or part time),All,All,All
S92000003,2013,Count,Million Visits,68,Visits,All,All,All,Employed/self-employed (full or part time),All,All,All
S92000003,2013,Count,million pounds (GBP),2894,Expenditure,All,All,All,Employed/self-employed (full or part time),All,All,All
S92000003,2014,Count,million pounds (GBP),368,Expenditure,All,All,All,Unemployed/not working,All,All,All
S92000003,2015,Count,Million Visits,15,Visits,All,All,All,Unemployed/not working,All,All,All
S92000003,2016,Count,million pounds (GBP),255,Expenditure,All,All,All,Unemployed/not working,All,All,All
S92000003,2015,Count,million pounds (GBP),483,Expenditure,All,All,All,Unemployed/not working,All,All,All
S92000003,2013,Count,Million Visits,46,Visits,All,All,All,Unemployed/not working,All,All,All
S92000003,2016,Count,Million Visits,11,Visits,All,All,All,Unemployed/not working,All,All,All
S92000003,2014,Count,Million Visits,11,Visits,All,All,All,Unemployed/not working,All,All,All
S92000003,2013,Count,million pounds (GBP),1600,Expenditure,All,All,All,Unemployed/not working,All,All,All
S92000003,2013,Count,Million Visits,92,Visits,All,All,All,All,No - Children,All,All
S92000003,2013,Count,million pounds (GBP),3092,Expenditure,All,All,All,All,No - Children,All,All
S92000003,2016,Count,Million Visits,108,Visits,All,All,All,All,No - Children,All,All
S92000003,2014,Count,million pounds (GBP),3604,Expenditure,All,All,All,All,No - Children,All,All
S92000003,2014,Count,Million Visits,96,Visits,All,All,All,All,No - Children,All,All
S92000003,2015,Count,million pounds (GBP),2579,Expenditure,All,All,All,All,No - Children,All,All
S92000003,2016,Count,million pounds (GBP),3240,Expenditure,All,All,All,All,No - Children,All,All
S92000003,2015,Count,Million Visits,92,Visits,All,All,All,All,No - Children,All,All
S92000003,2016,Count,Million Visits,34,Visits,All,All,All,All,Yes - Children,All,All
S92000003,2013,Count,million pounds (GBP),1555,Expenditure,All,All,All,All,Yes - Children,All,All
S92000003,2013,Count,Million Visits,32,Visits,All,All,All,All,Yes - Children,All,All
S92000003,2015,Count,Million Visits,32,Visits,All,All,All,All,Yes - Children,All,All
S92000003,2014,Count,Million Visits,31,Visits,All,All,All,All,Yes - Children,All,All
S92000003,2016,Count,million pounds (GBP),1677,Expenditure,All,All,All,All,Yes - Children,All,All
S92000003,2015,Count,million pounds (GBP),1342,Expenditure,All,All,All,All,Yes - Children,All,All
S92000003,2014,Count,million pounds (GBP),1416,Expenditure,All,All,All,All,Yes - Children,All,All
S92000003,2016,Count,Million Visits,22,Visits,All,All,All,All,All,No access to car (0),All
S92000003,2013,Count,Million Visits,24,Visits,All,All,All,All,All,No access to car (0),All
S92000003,2014,Count,million pounds (GBP),741,Expenditure,All,All,All,All,All,No access to car (0),All
S92000003,2015,Count,million pounds (GBP),682,Expenditure,All,All,All,All,All,No access to car (0),All
S92000003,2013,Count,million pounds (GBP),578,Expenditure,All,All,All,All,All,No access to car (0),All
S92000003,2015,Count,Million Visits,30,Visits,All,All,All,All,All,No access to car (0),All
S92000003,2014,Count,Million Visits,26,Visits,All,All,All,All,All,No access to car (0),All
S92000003,2016,Count,million pounds (GBP),640,Expenditure,All,All,All,All,All,No access to car (0),All
S92000003,2016,Count,Million Visits,120,Visits,All,All,All,All,All,Access to car (1+),All
S92000003,2015,Count,million pounds (GBP),3240,Expenditure,All,All,All,All,All,Access to car (1+),All
S92000003,2013,Count,Million Visits,100,Visits,All,All,All,All,All,Access to car (1+),All
S92000003,2015,Count,Million Visits,95,Visits,All,All,All,All,All,Access to car (1+),All
S92000003,2016,Count,million pounds (GBP),4276,Expenditure,All,All,All,All,All,Access to car (1+),All
S92000003,2014,Count,million pounds (GBP),4279,Expenditure,All,All,All,All,All,Access to car (1+),All
S92000003,2013,Count,million pounds (GBP),4069,Expenditure,All,All,All,All,All,Access to car (1+),All
S92000003,2014,Count,Million Visits,101,Visits,All,All,All,All,All,Access to car (1+),All
S92000003,2016,Count,Million Visits,80,Visits,All,All,Female,All,All,All,All
S92000003,2015,Count,million pounds (GBP),3922,Expenditure,All,All,All,All,All,All,All
S92000003,2015,Count,million pounds (GBP),1929,Expenditure,All,All,Male,All,All,All,All
S92000003,2015,Count,million pounds (GBP),1993,Expenditure,All,All,Female,All,All,All,All
S92000003,2015,Count,million pounds (GBP),2672,Expenditure,All,Married,All,All,All,All,All
S92000003,2015,Count,million pounds (GBP),1249,Expenditure,All,Not Married,All,All,All,All,All
S92000003,2014,Count,million pounds (GBP),5020,Expenditure,All,All,All,All,All,All,All
S92000003,2014,Count,million pounds (GBP),2427,Expenditure,All,All,Male,All,All,All,All
S92000003,2014,Count,million pounds (GBP),2593,Expenditure,All,All,Female,All,All,All,All
S92000003,2014,Count,million pounds (GBP),3388,Expenditure,All,Married,All,All,All,All,All
S92000003,2014,Count,million pounds (GBP),1633,Expenditure,All,Not Married,All,All,All,All,All
S92000003,2016,Count,million pounds (GBP),4916,Expenditure,All,All,All,All,All,All,All
S92000003,2016,Count,million pounds (GBP),2483,Expenditure,All,All,Male,All,All,All,All
S92000003,2016,Count,million pounds (GBP),2434,Expenditure,All,All,Female,All,All,All,All
S92000003,2016,Count,million pounds (GBP),3461,Expenditure,All,Married,All,All,All,All,All
S92000003,2016,Count,million pounds (GBP),1455,Expenditure,All,Not Married,All,All,All,All,All
